iter	MultiClass
0	1.044450666
1	0.9958197509
2	0.9513071651
3	0.9110318279
4	0.8754873726
5	0.8433868411
6	0.8136910235
7	0.7874491046
8	0.762657497
9	0.7411139447
10	0.7210205092
11	0.7020239624
12	0.6856087406
13	0.6699712643
14	0.654185679
15	0.6395624022
16	0.6255101441
17	0.6127462202
18	0.6004527466
19	0.5892168261
20	0.5785167561
21	0.569102837
22	0.559695958
23	0.5514226036
24	0.5437863936
25	0.5368373969
26	0.5291838625
27	0.5219246946
28	0.5158554249
29	0.5097619084
30	0.5035189965
31	0.49784721
32	0.4925308138
33	0.4876977149
34	0.4829851916
35	0.4784712943
36	0.4744693393
37	0.4703874062
38	0.4660063246
39	0.4623703624
40	0.4590462214
41	0.4557740858
42	0.4525757806
43	0.449757503
44	0.4470176164
45	0.4443471972
46	0.4416231971
47	0.4391908853
48	0.4365844809
49	0.4345206879
50	0.4321228283
51	0.4297472176
52	0.4277494356
53	0.4259249312
54	0.4241803322
55	0.422643632
56	0.4212336261
57	0.4194914246
58	0.4175728718
59	0.4159613773
60	0.414430381
61	0.4128693847
62	0.4114214452
63	0.4103601581
64	0.4091769969
65	0.4080979746
66	0.406886067
67	0.4056471783
68	0.4045410895
69	0.4036865698
70	0.4027287606
71	0.4019749037
72	0.4011233671
73	0.4002435229
74	0.3993250429
75	0.3983697256
76	0.397626531
77	0.3966453658
78	0.3960747799
79	0.3950904918
80	0.3943039329
81	0.3934593091
82	0.3926281998
83	0.3919327031
84	0.3911951862
85	0.3904834922
86	0.3899010315
87	0.3893600307
88	0.3886374133
89	0.3880389176
90	0.3875778857
91	0.3870993922
92	0.3866944724
93	0.3860472538
94	0.3856444238
95	0.385178091
96	0.3845819203
97	0.3841511847
98	0.383516814
99	0.3830014328
100	0.3826367152
101	0.3819641282
102	0.3816582181
103	0.3812043975
104	0.3807051194
105	0.380221543
106	0.3797097139
107	0.3790328791
108	0.3786442299
109	0.3782564504
110	0.3779171746
111	0.3774600953
112	0.3771418779
113	0.3769001212
114	0.3765483943
115	0.3758386798
116	0.3754635058
117	0.3751920328
118	0.3748611571
119	0.3744726705
120	0.3740311585
121	0.3738325581
122	0.3735352845
123	0.3731200591
124	0.3728449147
125	0.372536868
126	0.3721716807
127	0.3719624481
128	0.3715223777
129	0.3711863175
130	0.370990279
131	0.3707997072
132	0.3704258969
133	0.3703110324
134	0.3700566316
135	0.3698895859
136	0.3697169463
137	0.3694948875
138	0.3691706557
139	0.3689659288
140	0.3687612131
141	0.3683751034
142	0.3679516578
143	0.367802201
144	0.3675362901
145	0.3673119584
146	0.3671611905
147	0.366935494
148	0.3665844399
149	0.3662160396
150	0.3659247052
151	0.3657450563
152	0.3653718509
153	0.3651880967
154	0.3650366271
155	0.3646888348
156	0.364502896
157	0.3642130647
158	0.3638232198
159	0.3635231175
160	0.3630777127
161	0.3629526422
162	0.3627593043
163	0.3625028884
164	0.3623470574
165	0.3622458879
166	0.3618551621
167	0.3616839466
168	0.3615676055
169	0.3614207198
170	0.3612707854
171	0.3610870339
172	0.360934085
173	0.3608189476
174	0.3605747043
175	0.3604521269
176	0.3602987291
177	0.3600212901
178	0.3598430741
179	0.3596065301
180	0.3593962373
181	0.3592874475
182	0.3590596346
183	0.3588959105
184	0.3587261101
185	0.3584572607
186	0.3581502792
187	0.357959473
188	0.3577943609
189	0.3575431185
190	0.3572992607
191	0.3571088323
192	0.3569741266
193	0.3567957404
194	0.3564689603
195	0.3564200343
196	0.356216631
197	0.35583876
198	0.3556855275
199	0.3555369442
