iter	Passed	Remaining
0	76	15174
1	86	8532
2	99	6522
3	108	5298
4	117	4595
5	129	4172
6	139	3843
7	153	3675
8	161	3427
9	169	3221
10	177	3048
11	185	2911
12	192	2772
13	202	2692
14	212	2626
15	221	2549
16	231	2487
17	239	2421
18	250	2387
19	261	2353
20	270	2301
21	279	2259
22	289	2225
23	299	2193
24	310	2172
25	317	2127
26	329	2110
27	338	2082
28	347	2049
29	356	2021
30	366	1997
31	377	1982
32	387	1958
33	397	1940
34	411	1941
35	422	1924
36	430	1896
37	440	1876
38	450	1861
39	461	1846
40	473	1838
41	482	1816
42	495	1809
43	505	1791
44	515	1776
45	527	1767
46	538	1753
47	547	1732
48	558	1722
49	569	1708
50	578	1690
51	590	1679
52	603	1673
53	612	1657
54	626	1652
55	642	1650
56	651	1634
57	660	1616
58	671	1604
59	684	1596
60	694	1582
61	707	1575
62	719	1564
63	730	1553
64	738	1534
65	749	1521
66	758	1505
67	769	1492
68	778	1477
69	790	1468
70	806	1464
71	815	1449
72	824	1433
73	835	1421
74	843	1405
75	852	1390
76	863	1379
77	872	1365
78	882	1351
79	890	1335
80	901	1324
81	913	1313
82	921	1298
83	932	1287
84	941	1274
85	950	1259
86	960	1247
87	968	1232
88	979	1221
89	986	1205
90	995	1192
91	1003	1177
92	1011	1163
93	1021	1151
94	1030	1139
95	1040	1127
96	1050	1115
97	1061	1104
98	1071	1092
99	1079	1079
100	1088	1067
101	1100	1057
102	1118	1053
103	1128	1041
104	1140	1032
105	1151	1021
106	1161	1009
107	1173	999
108	1184	988
109	1193	976
110	1203	965
111	1212	953
112	1220	939
113	1234	931
114	1246	921
115	1257	910
116	1266	898
117	1274	885
118	1285	875
119	1296	864
120	1305	852
121	1313	840
122	1323	828
123	1333	817
124	1341	804
125	1350	793
126	1359	781
127	1366	768
128	1376	757
129	1385	746
130	1393	734
131	1401	722
132	1410	710
133	1418	698
134	1426	686
135	1434	674
136	1442	663
137	1451	652
138	1461	641
139	1471	630
140	1480	619
141	1491	609
142	1499	597
143	1508	586
144	1520	576
145	1528	565
146	1538	554
147	1545	543
148	1554	532
149	1564	521
150	1574	510
151	1584	500
152	1595	490
153	1607	480
154	1615	469
155	1625	458
156	1633	447
157	1641	436
158	1650	425
159	1658	414
160	1669	404
161	1676	393
162	1685	382
163	1695	372
164	1703	361
165	1712	350
166	1722	340
167	1732	329
168	1739	319
169	1748	308
170	1756	297
171	1766	287
172	1774	276
173	1782	266
174	1794	256
175	1803	245
176	1813	235
177	1822	225
178	1830	214
179	1841	204
180	1849	194
181	1857	183
182	1866	173
183	1875	163
184	1883	152
185	1894	142
186	1904	132
187	1912	122
188	1921	111
189	1930	101
190	1940	91
191	1947	81
192	1955	70
193	1963	60
194	1973	50
195	1981	40
196	1991	30
197	2000	20
198	2008	10
199	2015	0
